Antofagasta;LA MUNICIPALIDAD DE ANTOFAGASTA;Municipalidad de Antofagasta;Av. Séptimo de Línea Nº3505;Internacional: +56 5 5537400;Internacional: +56 5 5537404;www.municipalidadantofagasta.cl;Karen Rojo Venegas;IND
Antofagasta;LA MUNICIPALIDAD DE CALAMA;Municipalidad de Calama;Vicuña Mackena Nº2001;Internacional: +56 5 5341274;Internacional: +56 5 5341366;www.municipalidadcalama.cl;Daniel Agusto Pérez;RN
Antofagasta;LA MUNICIPALIDAD DE TOCOPILLA;Municipalidad de Tocopilla;Aníbal Pinto s/n (esq. 21 de Mayo);Internacional: +56 5 5421337;Internacional: +56 5 5421348;www.imtocopilla.com;Luis Moyano Cruz;IND
Antofagasta;LA MUNICIPALIDAD DE TALTAL;Municipalidad de Taltal;Prat Nº515;Internacional: +56 5 5611073;Internacional: +56 5 5611073;www.taltal.cl;Sergio Orellana Montejo;PRSD
Antofagasta;LA MUNICIPALIDAD DE MEJILLONES;Municipalidad de Mejillones;Francisco Antonio Pinto Nº200;Internacional: +56 5 5557390;Internacional: +56 5 5557340;www.mejillones.cl;Sergio Vega Venegas;ILF
Antofagasta;LA MUNICIPALIDAD DE MARÍA ELENA;Municipalidad de María Elena;Aconcagua Nº 02027;Internacional: +56 5 5557708;Internacional: +56 5 5557719;www.comunamariaelena.cl;Omar Norambuena Rivera;ILF
Antofagasta;LA MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;Municipalidad de San Pedro de Atacama;Gustavo Le Paige N° 328;Internacional: +56 5 5851083;Internacional: +56 5 5851041;www.sanpedroatacama.com/municipalidad.htm;Aliro Catur Zuleta;ILF
Antofagasta;LA MUNICIPALIDAD DE SIERRA GORDA;Municipalidad de Sierra Gorda;Av. Salvador Allende 452, Baquedano;Internacional: +56 5 5641915;Internacional: +56 5 5641915;www.municipalidadsierragorda.cl;José Guerrero Venegas;ILE
Antofagasta;LA MUNICIPALIDAD DE OLLAGÜE;Municipalidad de Ollagüe;Av. Los Héroes s/n;Internacional: +56 5 5691051;Internacional: +56 5 5691051;www.municipalidadollague.cl;Carlos Reygadas Bavestrello;UDI
Arica y Parinacota;LA MUNICIPALIDAD DE ARICA;Municipalidad de Arica;Rafael Sotomayor Nº 415;Internacional: +56 5 8206200;Internacional: +56 5 8232203;www.municipalidaddearica.cl;Gerardo Espíndola Rojas;PL
Arica y Parinacota;LA MUNICIPALIDAD DE PUTRE;Municipalidad de Putre;José Miguel Carrera Nº350,;Internacional: +56 5 8254590;Internacional: +56 5 8254590;www.imputre.cl;Maricel Gutiérrez Castro;IND
Arica y Parinacota;LA MUNICIPALIDAD DE CAMARONES;Municipalidad de Camarones;Avanzada de Cuya s/n;Internacional: +56 5 8242041;Internacional: +56 5 8251442;www.municipiocamarones.cl;Iván Romero Menacho;PS
Arica y Parinacota;LA MUNICIPALIDAD DE GENERAL LAGOS;Municipalidad de General Lagos;Ignacio Carrera Pinto s/n, Visviri.;Internacional: +56 5 8258484;Internacional: +56 5 8233717;www.municipalidadgenerallagos.cl;Alex Castillo Blas;IND
Atacama;LA MUNICIPALIDAD DE COPIAPÓ;Municipalidad de Copiapó;Chacabuco Nº857, Copiapó.;Internacional: +56 5 2473500;Internacional: +56 5 2473518;www.copiapo.cl;Marcos López Rivera;ILE
Atacama;LA MUNICIPALIDAD DE VALLENAR;Municipalidad de Vallenar;Plaza A. OHiggins Nº25;Internacional: +56 5 1615112;Internacional: +56 5 1613796;www.vallenar.cl;Cristián Tapia Ramos;MAS
Atacama;LA MUNICIPALIDAD DE DIEGO DE ALMAGRO;Municipalidad de Diego de Almagro;Juan Martínez Nº 1403;Internacional: +56 5 2441049;Internacional: +56 5 2441570;www.diegodalmagro.cl;Isaías Zavala Torres;PC
Atacama;LA MUNICIPALIDAD DE CALDERA;Municipalidad de Caldera;Cousiño Nº395;Internacional: +56 5 2315207;Internacional: +56 5 2315130;www.caldera.cl;Brunilda González Anjel;PPD
Atacama;LA MUNICIPALIDAD DE CHAÑARAL;Municipalidad de Chañaral;Merino Jarpa Nº801, Chañaral.;Internacional: +56 5 2526618;Internacional: +56 5 2526619;www.munichanaral.cl;Raúl Salas Aguilera;IND
Atacama;LA MUNICIPALIDAD DE TIERRA AMARILLA;Municipalidad de Tierra Amarilla;Av. Miguel Le Meur Nº544;Internacional: +56 5 2320017;Internacional: +56 5 2320054;www.tierraamarilla.cl;Osvaldo Delgado Quevedo;ILO
Atacama;LA MUNICIPALIDAD DE HUASCO;Municipalidad de Huasco;Craig Nº 530;Internacional: +56 5 1531039;Internacional: +56 51531039an;www.imhuasco.cl;Rodrigo Loyola Morenilla;PPD
Atacama;LA MUNICIPALIDAD DE FREIRINA;Municipalidad de Freirina;Edificio Los Portales s/n;Internacional: +56 5 1518713;Internacional: +56 51518761an;www.imfreirina.cl;César Orellana Orellana;PS
Atacama;LA MUNICIPALIDAD DE ALTO DEL CARMEN;Municipalidad de Alto del Carmen;Padre Alonso García s/n;Internacional: +56 5 1610359;Internacional: +56 5 1610328;www.munialtodelcarmen.cl;Carmen Bou Bou;ILF
Aysen del General Carlos Ibáñez del Campo;No hay informacion;Municipalidad de Coihaique;Francisco Bilbao Nº 357;Internacional: +56 6 7213104;Internacional: +56 6 7231788;www.coyhaique.cl;Omar Muñoz Sierra;null
